COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS,PASS_START_TIME,PASS_END_TIME,TOTAL_POWER_CONSUMPTION
K491451000,6,1,2.04,1.53,39:27.0,50:57.0,0
K491451000,6,2,1.52,1.16,51:34.0,55:54.0,0
K491451000,6,5,0.65,0.49,07:06.0,14:41.0,0
K491059000,6,2,1.56,1.22,40:21.0,44:46.0,0
K491059000,6,4,0.98,0.88,50:35.0,12:14.0,0
K491059000,6,5,0.74,0.57,12:42.0,19:36.0,0
K491197000,6,5,0.58,0.42,50:33.0,59:11.0,0
K491012000,6,1,2.01,1.47,32:29.0,42:21.0,0
K491012000,6,2,1.46,1.08,42:43.0,47:17.0,0
K491012000,6,5,0.58,0.42,14:32.0,21:21.0,0
K491458000,6,1,2.02,1.53,38:41.0,51:25.0,0
K491458000,6,2,1.52,1.16,51:53.0,56:45.0,0
K491409000,6,6,0.57,0.43,06:27.0,13:36.0,0
K491044000,6,1,2.04,1.55,21:03.0,31:43.0,0
K491044000,6,2,1.53,1.18,32:49.0,37:18.0,0
K491364000,5,2,2.34,1.99,50:03.0,53:19.0,0
K491364000,5,3,2,1.68,53:33.0,58:47.0,0
K491015000,6,4,0.79,0.58,44:50.0,51:10.0,0
K490533000,6,1,2.07,1.46,25:21.0,38:24.0,0
K490533000,6,2,1.46,1.09,39:13.0,43:53.0,0
K490533000,6,3,1.08,0.8,45:09.0,49:47.0,0
K490533000,6,4,0.8,0.59,50:09.0,55:53.0,0
K491010000,6,2,1.46,1.08,30:13.0,36:19.0,0
K490354000,6,5,0.64,0.48,26:35.0,34:15.0,0
K491712000,6,1,2.05,1.51,48:54.0,58:17.0,0
K491068000,6,4,0.86,0.65,54:32.0,59:59.0,0
K491068000,6,5,0.64,0.48,00:11.0,07:01.0,0
K490438000,6,1,1.96,1.5,56:04.0,07:17.0,0
K491227000,6,1,2.06,1.51,53:33.0,02:32.0,0
K491227000,6,2,1.5,1.15,02:59.0,06:39.0,0
K490993000,8,6,0.87,0.73,28:34.0,33:38.0,0
K490993000,8,8,0.6,0.51,41:49.0,50:14.0,0
K491662000,8,8,0.6,0.51,03:32.0,14:35.0,0
K490578000,8,1,4.8,3.99,55:57.0,01:28.0,0
K490578000,8,2,3.99,3.45,01:54.0,03:49.0,0
K490578000,8,3,3.44,2.97,04:31.0,06:28.0,0
K490578000,8,4,2.98,2.58,06:44.0,09:18.0,0
K471388000,8,5,1.72,1.49,57:35.0,00:12.0,0
K471388000,8,6,1.5,1.31,00:31.0,03:31.0,0
K471388000,8,7,1.3,1.15,03:42.0,07:09.0,0
K471388000,8,8,1.15,1.03,07:18.0,10:53.0,0
K481807000,7,1,5.2,4.43,16:08.0,26:02.0,0
K481807000,7,2,4.39,3.88,26:28.0,29:56.0,0
K481807000,7,7,2.32,2.02,52:19.0,56:22.0,0
K490465000,8,2,2.35,2.01,09:45.0,12:39.0,0
K490465000,8,3,2.01,1.72,12:53.0,16:40.0,0
K490465000,8,4,1.71,1.47,16:54.0,20:50.0,0
K490465000,8,5,1.47,1.25,21:01.0,24:39.0,0
K490465000,8,6,1.25,1.07,24:48.0,28:18.0,0
K490465000,8,7,1.08,0.94,28:34.0,33:07.0,0
K490465000,8,8,0.94,0.83,33:22.0,37:43.0,0
K490667000,7,1,2.49,2.04,23:30.0,31:24.0,0
K490667000,7,2,2.03,1.69,31:52.0,34:54.0,0
K490667000,7,3,1.69,1.41,35:06.0,38:14.0,0
K490667000,7,4,1.4,1.17,38:22.0,41:35.0,0
K490667000,7,5,1.17,0.99,41:43.0,46:01.0,0
K490667000,7,6,1,0.84,46:13.0,50:19.0,0
K490667000,7,7,0.84,0.72,50:37.0,56:24.0,0
K481474000,8,1,3.5,2.96,01:36.0,08:03.0,0
K481474000,8,2,2.57,2.95,01:36.0,11:19.0,0
K481474000,8,3,2.54,2.22,11:28.0,14:05.0,0
K481474000,8,4,2.21,1.96,14:28.0,17:34.0,0
K481461000,8,1,3.51,2.95,36:02.0,44:44.0,0
K481461000,8,2,2.94,2.54,45:12.0,48:48.0,0
K481461000,8,3,2.54,2.23,53:56.0,57:26.0,0
K481461000,8,4,2.24,1.97,57:48.0,01:12.0,0
K481461000,8,5,1.97,1.74,04:00.0,08:46.0,0
K481461000,8,8,1.35,1.22,18:01.0,21:54.0,0
K482285000,6,1,2.2,1.76,25:58.0,33:34.0,0
K482285000,6,2,1.75,1.4,34:11.0,37:32.0,0
K482285000,6,5,0.91,0.74,46:12.0,50:35.0,0
K482285000,6,6,0.74,0.62,51:07.0,56:43.0,0
K490497000,0,1,2.85,2.38,51:07.0,15:23.0,0
K490497000,8,5,1.47,1.25,28:21.0,31:35.0,0
K490497000,8,6,1.25,1.08,31:59.0,35:43.0,0
K490497000,8,7,1.08,0.94,36:03.0,39:50.0,0
K490497000,8,8,0.93,0.83,40:14.0,45:02.0,0
K481612000,8,1,3.51,2.94,50:08.0,55:41.0,0
K481612000,8,2,2.95,2.57,56:09.0,58:54.0,0
K481612000,8,3,2.53,2.2,59:06.0,01:23.0,0
K481612000,8,4,2.2,1.95,01:49.0,04:09.0,0
K481612000,8,5,1.96,1.73,04:24.0,06:47.0,0
K481612000,8,6,1.72,1.52,07:11.0,10:01.0,0
K481612000,8,7,1.52,1.35,10:11.0,12:59.0,0
K481612000,8,8,1.35,1.22,13:23.0,16:55.0,0
K490515000,8,1,2.86,2.36,21:53.0,28:18.0,0
K490515000,8,2,2.36,2.01,28:59.0,32:07.0,0
K490515000,8,3,2.01,1.71,32:18.0,34:54.0,0
K490515000,8,4,1.71,1.46,35:08.0,37:50.0,0
K490515000,8,5,1.46,1.24,38:00.0,41:05.0,0
K490515000,8,6,1.25,1.08,41:36.0,45:58.0,0
K490515000,8,7,1.07,0.93,46:09.0,50:02.0,0
K491375000,6,3,1.17,0.89,55:56.0,00:34.0,0
K491375000,6,4,0.89,0.68,00:51.0,06:13.0,0
K491377000,6,1,2.05,1.52,33:46.0,45:23.0,0
K491377000,6,5,0.65,0.49,04:53.0,14:54.0,0
K491196000,6,1,2.02,1.47,35:24.0,46:16.0,0
K491196000,6,5,0.57,0.42,24:33.0,32:46.0,0
K491196000,6,6,0.41,0.3,33:23.0,45:36.0,0
K490916000,6,6,0.58,0.44,52:40.0,00:21.0,0
K490990000,6,1,2.04,1.55,05:09.0,16:55.0,0
K490990000,6,2,1.51,1.16,25:45.0,30:37.0,0
K490990000,6,3,1.16,0.88,30:49.0,35:59.0,0
K491458000,6,3,1.15,0.87,57:23.0,02:00.0,0
K491458000,6,4,0.88,0.66,02:19.0,07:41.0,0
K491458000,6,5,0.66,0.5,08:10.0,14:36.0,0
K491193000,6,6,0.41,0.3,54:46.0,05:13.0,0
K491125000,5,1,5.2,4.35,58:10.0,03:18.0,0
K491532000,6,1,1.93,1.55,45:26.0,05:15.0,0
K491532000,6,2,1.52,1.17,05:54.0,09:44.0,0
K491364000,5,5,1.4,1.17,04:57.0,12:59.0,0
K491253000,6,2,1.55,1.17,39:37.0,44:01.0,0
K491253000,6,6,0.51,0.38,05:19.0,13:01.0,0
K491011000,6,6,0.41,0.3,02:28.0,14:54.0,0
K491015000,6,3,1.08,0.8,38:07.0,44:31.0,0
K490293000,6,1,1.99,1.47,17:34.0,30:27.0,0
K490293000,6,2,1.48,1.1,30:57.0,35:14.0,0
K490293000,6,4,0.8,0.58,46:07.0,53:25.0,0
K490293000,6,5,0.58,0.42,53:59.0,02:40.0,0
K491192000,6,1,2.04,1.47,19:30.0,33:51.0,0
K491192000,6,2,1.47,1.1,34:39.0,39:07.0,0
K491192000,6,4,0.79,0.58,45:27.0,52:23.0,0
K490287000,6,5,0.62,0.46,54:02.0,01:16.0,0
K491010000,6,1,2,1.48,18:56.0,29:37.0,0
K491010000,6,5,0.59,0.45,47:47.0,55:20.0,0
K490496000,6,5,0.59,0.45,36:25.0,44:23.0,0
K491068000,6,3,1.14,0.86,49:48.0,54:15.0,0
K491477000,7,6,1.11,0.93,39:09.0,43:27.0,0
K491477000,7,7,0.93,0.77,43:50.0,50:02.0,0
K490438000,6,4,0.86,0.65,17:43.0,23:41.0,0
K491227000,6,3,1.15,0.86,06:56.0,12:10.0,0
K491227000,6,4,0.86,0.65,12:54.0,18:27.0,0
K490993000,8,1,2.26,1.82,55:32.0,08:10.0,0
K490993000,8,7,0.72,0.6,34:21.0,41:19.0,0
K491662000,8,5,1.04,0.87,18:21.0,23:30.0,0
K491662000,8,7,0.73,0.61,53:16.0,02:31.0,0
K490598000,7,6,0.99,0.84,30:09.0,34:28.0,0
K490465000,8,1,2.83,2.38,02:08.0,09:16.0,0
K481404000,7,1,2.99,2.54,46:19.0,55:33.0,0
K481404000,7,2,2.54,2.16,56:01.0,58:48.0,0
K481404000,7,3,2.15,1.82,58:59.0,02:04.0,0
K481404000,7,4,1.83,1.55,02:18.0,05:39.0,0
K481404000,7,5,1.55,1.32,05:52.0,09:49.0,0
K481474000,8,5,1.96,1.74,17:58.0,20:21.0,0
K481474000,8,6,1.73,1.53,20:45.0,23:57.0,0
K481474000,8,7,1.53,1.35,24:14.0,27:09.0,0
K481461000,8,6,1.73,1.53,09:22.0,13:32.0,0
K481461000,8,7,1.53,1.35,13:44.0,17:41.0,0
K482285000,6,3,1.4,1.13,37:45.0,41:21.0,0
K482285000,6,4,1.13,0.92,41:35.0,45:56.0,0
K490515000,8,8,0.93,0.82,50:28.0,55:03.0,0
K481106000,7,1,2.97,2.55,00:28.0,14:59.0,0
K481106000,7,2,2.52,2.15,15:27.0,18:04.0,0
K481106000,7,3,2.14,1.82,18:16.0,21:02.0,0
K481106000,7,4,1.81,1.55,21:15.0,25:03.0,0
K481106000,7,5,1.54,1.32,25:15.0,28:43.0,0
K481106000,7,6,1.31,1.12,29:00.0,32:46.0,0
K481106000,7,7,1.13,0.99,32:54.0,36:40.0,0
K481226000,7,1,2,1.61,13:10.0,27:55.0,0
K481226000,7,2,1.6,1.3,28:56.0,33:11.0,0
K481226000,7,3,1.31,1.07,33:29.0,40:54.0,0
K481226000,7,4,1.06,0.87,41:20.0,46:04.0,0
K481226000,7,7,0.6,0.52,59:24.0,14:49.0,0
K472298000,6,1,2.5,2.02,20:10.0,28:20.0,0
K472298000,6,4,1.36,1.14,37:01.0,40:35.0,0
K491471000,8,2,2.5,1.99,19:41.0,22:48.0,0
K491471000,8,3,1.97,1.58,23:04.0,26:12.0,0
K491471000,8,4,1.57,1.24,26:23.0,29:48.0,0
K491471000,8,5,1.24,1,29:56.0,35:36.0,0
K491471000,8,8,0.62,0.51,48:22.0,57:35.0,0
K491534000,7,1,3.25,2.58,05:27.0,14:58.0,0
K491534000,7,3,2.05,1.66,29:00.0,38:16.0,0
K491534000,7,4,1.66,1.33,38:27.0,41:51.0,0
K491534000,7,5,1.32,1.05,42:01.0,45:47.0,0
K491534000,7,6,1.06,0.85,46:00.0,50:14.0,0
K491534000,7,7,0.84,0.7,50:32.0,57:06.0,0
K470568000,6,1,2.2,1.75,08:11.0,24:06.0,0
K470568000,6,5,0.91,0.75,39:11.0,44:17.0,0
K490495000,7,1,2.52,2.04,56:54.0,04:22.0,0
K490495000,7,2,2.02,1.67,05:47.0,09:10.0,0
K490495000,7,3,1.68,1.41,09:20.0,12:37.0,0
K490495000,7,4,1.39,1.17,12:48.0,16:33.0,0
K490495000,7,5,1.17,0.99,16:46.0,20:46.0,0
K490495000,7,6,0.99,0.83,20:58.0,25:25.0,0
K491375000,6,5,0.68,0.51,06:44.0,13:37.0,0
K491451000,6,3,1.15,0.87,56:14.0,01:03.0,0
K491451000,6,4,0.87,0.66,01:25.0,06:35.0,0
K491059000,6,6,0.57,0.44,20:04.0,27:46.0,0
K490916000,6,5,0.76,0.58,46:16.0,52:08.0,0
K491197000,6,2,1.47,1.09,18:15.0,23:06.0,0
K491197000,6,3,1.09,0.8,23:29.0,29:40.0,0
K491194000,6,5,0.6,0.44,06:15.0,13:24.0,0
K491012000,6,3,1.09,0.8,47:34.0,52:24.0,0
K491012000,6,4,0.88,0.77,52:44.0,52:51.0,0
K491409000,6,1,2.23,1.7,35:20.0,44:45.0,0
K491409000,6,2,1.69,1.3,45:10.0,49:34.0,0
K491193000,6,3,1.08,0.79,35:01.0,40:01.0,0
K491193000,6,4,0.79,0.58,40:29.0,46:20.0,0
K491532000,6,3,1.17,0.89,10:02.0,14:36.0,0
K491532000,6,4,0.89,0.67,14:54.0,19:51.0,0
K491253000,6,5,0.67,0.51,57:09.0,04:54.0,0
K491049000,5,1,2.83,2.33,20:36.0,27:26.0,0
K491049000,5,5,1.39,1.17,37:27.0,41:21.0,0
K491015000,6,5,0.57,0.42,51:37.0,00:54.0,0
K491192000,6,6,0.41,0.3,22:23.0,34:34.0,0
K490287000,6,2,1.49,1.13,38:32.0,43:02.0,0
K490287000,6,3,1.12,0.85,43:22.0,47:49.0,0
K490287000,6,6,0.34,0.46,54:02.0,10:49.0,0
K490496000,6,6,0.45,0.33,44:42.0,54:17.0,0
K491712000,6,2,1.5,1.14,59:16.0,03:30.0,0
K491712000,6,3,1.14,0.86,03:48.0,08:20.0,0
K491712000,6,4,0.86,0.64,08:38.0,14:07.0,0
K491712000,6,5,0.49,0.64,08:38.0,21:47.0,0
K490438000,6,5,0.64,0.49,24:07.0,32:16.0,0
K490993000,8,4,1.24,1.04,18:04.0,22:46.0,0
K490993000,8,5,1.04,0.86,23:12.0,28:10.0,0
K490598000,7,1,2.57,2.05,05:12.0,13:52.0,0
K490598000,7,2,2.03,1.68,15:43.0,19:22.0,0
K480924000,8,2,4.41,3.94,17:55.0,24:30.0,0
K480924000,8,3,3.93,3.65,24:45.0,28:37.0,0
K490332000,8,6,1.25,1.08,49:09.0,52:35.0,0
K490332000,8,7,1.08,0.94,52:45.0,57:13.0,0
K481807000,7,3,3.86,3.41,30:05.0,35:45.0,0
K481807000,7,4,3.41,3.01,35:58.0,39:51.0,0
K481807000,7,5,3.01,2.65,40:27.0,44:40.0,0
K481807000,7,6,2.65,2.32,44:51.0,48:42.0,0
K481404000,7,6,1.32,1.13,10:02.0,13:32.0,0
K481404000,7,7,1.13,0.98,13:50.0,18:40.0,0
K481474000,8,8,1.36,1.22,27:34.0,31:02.0,0
K490497000,8,4,1.71,1.47,24:52.0,27:59.0,0
K481226000,7,5,0.87,0.72,46:16.0,52:46.0,0
K481226000,7,6,0.72,0.6,53:01.0,59:13.0,0
K472298000,6,2,2.02,1.66,28:59.0,32:31.0,0
K472298000,6,3,1.66,1.37,32:43.0,35:32.0,0
K491471000,8,1,3.2,2.51,12:44.0,19:19.0,0
K491471000,8,6,0.99,0.78,35:50.0,41:53.0,0
K491471000,8,7,0.78,0.63,42:08.0,48:03.0,0
K491534000,7,2,2.56,2.06,15:19.0,28:15.0,0
K470568000,6,4,1.13,0.91,34:05.0,38:52.0,0
K470568000,6,6,0.74,0.62,44:29.0,51:57.0,0
K490495000,7,7,0.83,0.71,25:38.0,30:52.0,0
K481229000,7,1,2.99,2.53,36:56.0,43:03.0,0
K481229000,7,2,2.49,2.15,43:32.0,47:37.0,0
K481229000,7,3,2.14,1.83,47:43.0,50:52.0,0
K481229000,7,4,1.81,1.54,51:06.0,53:51.0,0
K481229000,7,5,1.55,1.31,54:18.0,58:00.0,0
K481229000,7,6,1.32,1.13,58:11.0,01:45.0,0
K481229000,7,7,1.13,0.98,01:59.0,05:58.0,0
K481360000,7,1,2.98,2.52,18:15.0,24:05.0,0
K481360000,7,2,2.51,2.14,24:35.0,27:26.0,0
K481360000,7,3,2.15,1.82,28:00.0,31:06.0,0
K481360000,7,4,1.82,1.55,31:23.0,34:51.0,0
K481360000,7,5,1.55,1.32,35:00.0,39:45.0,0
K481360000,7,6,1.31,1.12,39:58.0,43:25.0,0
K481360000,7,7,1.12,0.99,47:59.0,56:16.0,0
K441554000,9,1,3.59,2.98,03:14.0,11:16.0,0
K441554000,9,2,3.01,2.49,11:40.0,14:08.0,0
K441554000,9,3,2.49,2.09,14:15.0,16:44.0,0
K441554000,9,4,2.08,1.73,16:57.0,19:15.0,0
K441554000,9,5,1.73,1.43,19:22.0,21:41.0,0
K441554000,9,6,1.43,1.19,21:53.0,24:54.0,0
K441554000,9,7,1.19,0.99,25:02.0,27:47.0,0
K441554000,9,8,0.98,0.82,28:01.0,32:31.0,0
K441554000,9,9,0.82,0.72,32:42.0,37:09.0,0
K490415000,6,1,2.29,1.82,46:55.0,00:28.0,0
K490415000,6,2,1.75,1.4,01:25.0,04:59.0,0
K490415000,6,3,1.39,1.13,05:06.0,08:23.0,0
K490415000,6,4,1.12,0.91,08:33.0,12:37.0,0
K490415000,6,5,0.91,0.75,13:04.0,18:44.0,0
K490415000,6,6,0.74,0.62,18:59.0,25:58.0,0
K481463000,7,1,2.22,1.75,33:15.0,42:19.0,0
K481463000,7,2,1.74,1.4,43:34.0,47:23.0,0
K481463000,7,3,1.39,1.12,47:32.0,50:59.0,0
K481463000,7,4,1.12,0.91,51:14.0,55:43.0,0
K481463000,7,5,0.91,0.74,55:56.0,00:26.0,0
K481463000,7,6,0.74,0.62,00:42.0,07:51.0,0
K481337000,6,1,2.01,1.45,52:34.0,02:42.0,0
K481337000,6,2,1.45,1.06,03:08.0,07:04.0,0
K481337000,6,3,1.06,0.77,07:30.0,12:28.0,0
K481337000,6,4,0.77,0.56,12:43.0,18:21.0,0
K481337000,6,5,0.56,0.4,18:39.0,26:38.0,0
K481337000,6,6,0.4,0.29,26:53.0,37:48.0,0
K491241000,6,1,2.82,2.31,26:08.0,32:36.0,0
K491241000,6,2,2.31,1.95,33:10.0,36:01.0,0
K491241000,6,3,1.93,1.6,36:14.0,39:39.0,0
K491241000,6,4,1.61,1.32,39:50.0,43:13.0,0
K491241000,6,5,1.32,1.09,43:30.0,47:34.0,0
K491241000,6,6,1.09,0.89,47:48.0,52:04.0,0
K491323000,6,1,2.75,2.33,55:06.0,01:55.0,0
K491323000,6,2,2.32,1.96,02:18.0,05:58.0,0
K491323000,6,3,1.95,1.63,06:18.0,09:25.0,0
K491323000,6,4,1.62,1.34,09:43.0,13:36.0,0
K491352000,6,1,2.73,2.32,34:27.0,43:52.0,0
K491352000,6,2,2.32,1.95,44:33.0,49:15.0,0
K491352000,6,3,1.95,1.63,49:26.0,53:00.0,0
K491352000,6,4,1.63,1.36,53:16.0,58:23.0,0
K491352000,6,5,1.35,1.12,59:05.0,09:44.0,0
K491352000,6,6,1.12,0.92,10:07.0,17:24.0,0
K491355000,6,1,2.71,2.33,58:48.0,09:13.0,0
K491355000,6,2,2.33,1.95,09:50.0,13:11.0,0
K491355000,6,3,1.95,1.63,13:24.0,16:57.0,0
K491355000,6,4,1.64,1.36,17:12.0,21:03.0,0
K491355000,6,5,1.36,1.12,21:24.0,27:41.0,0
K491355000,6,6,1.11,0.91,28:01.0,37:25.0,0
K491354000,6,1,2.68,2.37,18:24.0,27:40.0,0
K491354000,6,2,2.31,1.94,28:11.0,33:46.0,0
K491354000,6,3,1.93,1.6,34:06.0,38:04.0,0
K491354000,6,4,1.6,1.31,38:14.0,44:18.0,0
K491354000,6,5,1.31,1.08,44:36.0,49:56.0,0
K491354000,6,6,1.08,0.88,50:22.0,56:55.0,0
K491429000,6,1,2.74,2.3,47:08.0,55:44.0,0
K491429000,6,2,2.29,1.91,56:45.0,01:52.0,0
K491429000,6,3,1.91,1.57,02:05.0,06:02.0,0
K491429000,6,4,1.57,1.29,06:12.0,11:20.0,0
K491429000,6,5,1.28,1.05,11:36.0,17:49.0,0
K491429000,6,6,1.05,0.86,18:04.0,25:21.0,0
K491428000,6,1,2.77,2.33,01:29.0,08:45.0,0
K491428000,6,2,2.32,1.95,09:35.0,16:24.0,0
K491428000,6,3,1.95,1.62,16:40.0,20:56.0,0
K491428000,6,4,1.62,1.34,21:07.0,27:00.0,0
K491428000,6,5,1.34,1.1,27:14.0,32:26.0,0
K491428000,6,6,1.1,0.9,32:42.0,39:47.0,0
K491448000,6,1,2.79,2.34,44:45.0,51:41.0,0
K491448000,6,2,1.97,2.32,44:45.0,58:25.0,0
K491448000,6,3,1.95,1.62,58:41.0,02:42.0,0
K491448000,6,4,1.62,1.34,02:53.0,07:13.0,0
K491448000,6,5,1.34,1.11,07:27.0,11:27.0,0
K491448000,6,6,1.11,0.91,11:49.0,17:24.0,0
K491412000,6,1,2.8,2.34,21:43.0,28:52.0,0
K491412000,6,2,2.32,1.94,29:36.0,34:15.0,0
K491412000,6,3,1.95,1.62,34:34.0,38:14.0,0
K491412000,6,4,1.62,1.34,38:24.0,41:57.0,0
K491412000,6,5,1.35,1.11,42:09.0,46:13.0,0
K491412000,6,6,1.1,0.91,46:28.0,51:13.0,0
K491456000,6,1,2.83,2.31,25:13.0,32:46.0,0
K491456000,6,2,2.29,1.91,33:20.0,35:55.0,0
K491456000,6,3,1.9,1.58,36:18.0,39:34.0,0
K491456000,6,4,1.57,1.29,40:22.0,43:36.0,0
K491456000,6,5,1.29,1.06,43:49.0,48:04.0,0
K491456000,6,6,1.06,0.86,48:19.0,52:51.0,0
K491474000,6,1,2.79,2.31,02:24.0,12:28.0,0
K491474000,6,2,2.29,1.91,13:08.0,16:35.0,0
K491474000,6,3,1.9,1.58,16:49.0,20:17.0,0
K491474000,6,4,1.57,1.29,20:31.0,23:59.0,0
K491474000,6,5,1.29,1.05,24:15.0,29:06.0,0
K491474000,6,6,1.05,0.87,29:53.0,35:37.0,0
K491454000,6,1,2.84,2.36,45:54.0,05:13.0,0
K491454000,6,2,2.33,1.95,05:49.0,10:54.0,0
K491454000,6,3,1.95,1.63,11:08.0,13:50.0,0
K491454000,6,4,1.62,1.34,14:05.0,17:31.0,0
K491454000,6,5,1.34,1.1,17:44.0,21:26.0,0
K491454000,6,6,1.11,0.91,21:42.0,26:27.0,0
K491457000,6,1,2.8,2.32,32:20.0,38:54.0,0
K491457000,6,2,2.29,1.92,39:21.0,41:59.0,0
K491457000,6,3,1.9,1.58,42:13.0,44:49.0,0
K491457000,6,4,1.57,1.3,45:01.0,48:08.0,0
K491457000,6,5,1.29,1.06,48:21.0,52:29.0,0
K491457000,6,6,1.05,0.86,54:56.0,00:48.0,0
K491455000,6,1,2.82,2.33,04:58.0,11:02.0,0
K491455000,6,2,2.32,1.97,11:34.0,14:02.0,0
K491455000,6,3,1.95,1.62,14:50.0,19:05.0,0
K491455000,6,4,1.62,1.34,19:31.0,23:14.0,0
K491455000,6,5,1.35,1.11,23:44.0,28:17.0,0
K491455000,6,6,1.11,0.91,28:50.0,32:58.0,0
K491420000,6,1,2.84,2.35,12:40.0,20:45.0,0
K491420000,6,2,2.33,1.96,21:31.0,24:40.0,0
K491420000,6,3,1.94,1.63,24:50.0,27:31.0,0
K491420000,6,4,1.62,1.34,27:43.0,30:58.0,0
K491420000,6,5,1.34,1.11,31:12.0,34:37.0,0
K491420000,6,6,1.1,0.91,34:50.0,39:16.0,0
K491510000,6,1,2.79,2.32,45:52.0,52:34.0,0
K491510000,6,2,2.29,1.92,53:00.0,56:03.0,0
K491510000,6,3,1.91,1.58,56:12.0,58:49.0,0
K491510000,6,4,1.57,1.28,59:00.0,02:20.0,0
K491510000,6,5,1.28,1.05,02:29.0,06:01.0,0
K491510000,6,6,1.05,0.86,06:13.0,10:50.0,0
K480648000,5,1,3.04,2.48,14:49.0,21:41.0,0
K480648000,5,2,2.46,2.05,22:05.0,25:10.0,0
K480648000,5,3,2.06,1.7,25:19.0,27:56.0,0
K480648000,5,4,1.69,1.4,28:10.0,31:31.0,0
K480648000,5,5,1.41,1.16,31:41.0,34:53.0,0
K491285000,6,1,2.79,2.33,39:15.0,45:37.0,0
K491285000,6,2,2.31,1.91,45:59.0,48:48.0,0
K491285000,6,3,1.9,1.57,49:07.0,51:43.0,0
K491285000,6,4,1.57,1.29,51:55.0,55:14.0,0
K491285000,6,5,1.29,1.05,55:39.0,59:09.0,0
K491285000,6,6,1.05,0.86,59:24.0,03:55.0,0
K490963000,5,1,2.8,2.36,50:43.0,56:05.0,0
K490963000,5,2,2.35,2,56:29.0,59:23.0,0
K490963000,5,3,2,1.68,59:32.0,02:03.0,0
K490963000,5,4,1.69,1.42,02:40.0,05:46.0,0
K490963000,5,5,1.42,1.19,06:04.0,09:17.0,0
K490772000,5,1,2,1.49,13:27.0,22:34.0,0
K490772000,5,2,1.48,1.11,23:13.0,27:25.0,0
K490772000,5,3,1.11,0.83,28:12.0,32:27.0,0
K490772000,5,4,0.83,0.67,32:48.0,38:40.0,0
K490772000,5,5,0.66,0.45,39:10.0,45:50.0,0
K491541000,6,1,2.81,2.33,50:01.0,56:22.0,0
K491541000,6,2,2.33,1.96,56:46.0,59:42.0,0
K491541000,6,3,1.95,1.62,59:52.0,02:25.0,0
K491541000,6,4,1.63,1.35,02:38.0,05:51.0,0
K491541000,6,5,1.35,1.11,06:07.0,09:33.0,0
K491541000,6,6,1.1,0.9,09:46.0,14:38.0,0
K490773000,5,1,1.99,1.46,19:16.0,31:33.0,0
K490773000,5,2,1.44,1.05,32:35.0,37:58.0,0
K490773000,5,3,1.05,0.76,38:10.0,43:01.0,0
K490773000,5,4,0.75,0.54,43:23.0,50:00.0,0
K490773000,5,5,0.54,0.39,50:13.0,58:24.0,0
K491529000,6,1,2.82,2.34,02:01.0,07:36.0,0
K491529000,6,2,2.32,1.96,08:00.0,11:08.0,0
K491529000,6,3,1.95,1.63,11:31.0,14:04.0,0
K491529000,6,4,1.63,1.34,14:17.0,17:31.0,0
K491529000,6,5,1.34,1.11,17:41.0,21:08.0,0
K491529000,6,6,1.1,0.91,21:21.0,25:49.0,0
K491298000,6,1,2.78,2.33,33:39.0,39:31.0,0
K491298000,6,2,2.32,1.95,39:53.0,42:54.0,0
K491298000,6,3,1.95,1.62,43:04.0,45:34.0,0
K491298000,6,4,1.63,1.34,45:47.0,49:08.0,0
K491298000,6,5,1.34,1.1,49:16.0,52:38.0,0
K491298000,6,6,1.11,0.91,52:51.0,57:35.0,0
K491299000,6,1,2.82,2.31,01:51.0,07:32.0,0
K491299000,6,2,2.29,1.91,07:57.0,11:00.0,0
K491299000,6,3,1.91,1.57,11:10.0,13:45.0,0
K491299000,6,4,1.59,1.3,14:03.0,17:25.0,0
K491299000,6,5,1.29,1.05,17:34.0,21:09.0,0
K491299000,6,6,1.05,0.86,21:21.0,26:10.0,0
K491525000,6,3,1.95,1.62,43:29.0,46:02.0,0
K491525000,6,4,1.64,1.35,46:19.0,49:27.0,0
K491525000,6,5,1.34,1.1,49:36.0,53:04.0,0
K491525000,6,6,1.1,0.91,53:23.0,57:22.0,0
K491275000,0,1,2.03,1.5,53:23.0,37:44.0,0
K491275000,5,2,1.48,1.12,38:25.0,42:49.0,0
K491275000,5,3,1.11,0.84,43:00.0,47:27.0,0
K491275000,5,4,0.84,0.63,47:47.0,53:13.0,0
K491266000,0,1,1.98,1.5,53:27.0,23:26.0,0
K491266000,4,2,1.47,1.09,24:10.0,29:25.0,0
K491266000,4,3,1.09,0.79,29:54.0,34:54.0,0
K491266000,4,4,0.79,0.57,35:10.0,41:34.0,0
K490769000,4,1,1.96,1.48,46:48.0,00:38.0,0
K490769000,4,2,1.46,1.1,01:14.0,04:58.0,0
K490769000,4,3,1.09,0.79,05:24.0,10:20.0,0
K490769000,4,4,0.79,0.57,10:42.0,16:52.0,0
K490744000,5,1,2.21,1.68,33:12.0,42:32.0,0
K490744000,5,2,1.68,1.3,43:11.0,47:43.0,0
K490744000,5,3,1.3,1,48:12.0,52:24.0,0
K490744000,5,4,1,0.76,52:44.0,57:56.0,0
K490744000,5,5,0.76,0.58,58:21.0,04:28.0,0
K491432000,6,1,2.77,2.33,08:17.0,15:37.0,0
K491432000,6,2,2.32,1.95,16:00.0,19:05.0,0
